<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
آسيا-ت,13890208,36.42,37,36,36.91,110795,294605692.00,23,37
آسيا-ت,13890211,37.80,38,37,37.29,182050,499175373.00,32,37
آسيا-ت,13890212,38.17,38,36,37.32,262257,712384877.00,56,37
آسيا-ت,13890213,36.29,39,36,38.47,3373681,9444255366.00,179,37
آسيا-ت,13890214,39.72,40,40,39.81,2808059,8130986501.00,130,38
آسيا-ت,13890215,39.86,41,40,41.14,3256669,9747125804.00,174,40
آسيا-ت,13890218,42.34,42,40,40.15,330174,961954332.00,63,41
آسيا-ت,13890219,38.79,39,39,38.87,516306,1459856276.00,61,40
آسيا-ت,13890220,38.12,39,38,38.09,434962,1205276666.00,58,39
آسيا-ت,13890221,38.49,38,37,37.84,177281,484668600.00,20,38
آسيا-ت,13890222,37.28,39,37,39.01,2515902,7140428598.00,84,38
آسيا-ت,13890225,39.83,40,40,40.37,2454105,7206544615.00,129,39
آسيا-ت,13890226,40.75,42,41,41.76,2506198,7613908775.00,118,40
آسيا-ت,13890228,43.20,43,40,40.77,623491,1849530356.00,124,42
آسيا-ت,13890229,41.22,41,39,39.53,571233,1642637309.00,36,41
آسيا-ت,13890301,38.28,40,38,38.36,359808,1003909055.00,33,40
آسيا-ت,13890302,39.70,40,40,39.70,2052711,5928229368.00,67,38
آسيا-ت,13890303,40.82,41,41,41.08,2214997,6620383676.00,91,40
آسيا-ت,13890304,42.50,43,43,42.51,1358114,4200279764.00,97,41
آسيا-ت,13890305,43.83,44,41,42.28,866554,2665322350.00,107,43
آسيا-ت,13890308,41.25,42,41,41.18,431244,1291995945.00,34,42
آسيا-ت,13890309,40.34,41,40,41.07,63338,186796530.00,8,41
آسيا-ت,13890310,40.55,43,40,41.03,102346,304572112.00,23,41
آسيا-ت,13890311,42.24,42,42,41.06,9207,28297818.00,4,41
آسيا-ت,13890312,41.24,42,41,41.32,88598,271568370.00,19,41
آسيا-ت,13890316,42.76,43,43,41.74,109035,339207857.00,21,41
آسيا-ت,13890317,41.92,42,42,41.76,23293,71044041.00,12,42
آسيا-ت,13890318,42.75,43,43,41.80,14010,43571100.00,3,42
آسيا-ت,13890319,41.92,42,42,41.84,100839,307870735.00,20,42
آسيا-ت,13890322,41.99,43,42,41.88,58127,177898028.00,9,42
آسيا-ت,13890323,40.44,43,40,41.81,133744,405719362.00,16,42
آسيا-ت,13890324,41.81,43,42,42.27,123149,386503157.00,13,42
آسيا-ت,13890325,43.30,44,43,42.31,11718,36955764.00,4,42
آسيا-ت,13890326,43.78,44,44,42.61,75896,241728760.00,9,42
آسيا-ت,13890329,44.09,44,44,42.83,53256,170845248.00,10,43
آسيا-ت,13890330,44.33,44,44,42.97,31932,102980700.00,4,43
آسيا-ت,13890331,44.47,44,44,43.09,30322,98091670.00,6,43
آسيا-ت,13890401,44.59,45,45,43.15,13774,44682856.00,5,43
آسيا-ت,13890402,44.64,45,45,44.63,630687,2048058916.00,44,43
آسيا-ت,13890406,44.53,45,43,44.60,22217,71483940.00,11,45
آسيا-ت,13890407,43.83,45,43,44.56,33225,106587100.00,11,45
آسيا-ت,13890408,42.82,43,43,44.30,54214,169026688.00,10,45
آسيا-ت,13890409,42.86,43,43,44.23,14832,46131650.00,9,44
آسيا-ت,13890412,42.61,43,43,44.11,29028,90288120.00,19,44
آسيا-ت,13890413,43.56,46,44,44.08,85711,274295516.00,17,44
آسيا-ت,13890414,43.85,46,44,44.52,98646,328109385.00,16,44
آسيا-ت,13890415,46.29,46,46,44.81,58364,196569952.00,10,45
آسيا-ت,13890416,46.60,47,47,45.25,89069,301943910.00,10,45
آسيا-ت,13890420,0,0,0,45.25,0,0.00,0,45
آسيا-ت,13890421,46.73,49,47,47.10,74401,254995219.00,14,45
آسيا-ت,13890422,0,0,0,47.10,0,0.00,0,47
آسيا-ت,13890423,0,0,0,47.10,0,0.00,0,47
آسيا-ت,13890426,0,0,0,47.10,0,0.00,0,47
آسيا-ت,13890427,0,0,0,47.10,0,0.00,0,47
آسيا-ت,13890428,47.80,50,48,48.77,101190,340728080.00,10,47
آسيا-ت,13890429,50.71,51,51,49.00,43604,152657604.00,4,49
آسيا-ت,13890430,50.96,51,51,49.15,28235,99330730.00,4,49
آسيا-ت,13890502,51.10,51,51,49.29,26539,93629592.00,4,49
آسيا-ت,13890503,51.26,51,51,49.47,32817,116139363.00,5,49
آسيا-ت,13890504,0,0,0,49.47,0,0.00,0,49
آسيا-ت,13890506,51.44,51,51,49.57,19797,70299147.00,4,49
آسيا-ت,13890509,51.54,52,52,49.57,314,1117212.00,2,50
آسيا-ت,13890510,51.54,52,52,49.70,23000,81834000.00,4,50
آسيا-ت,13890511,0,0,0,49.70,0,0.00,0,50
آسيا-ت,13890512,51.68,52,52,49.76,10000,35680000.00,1,50
آسيا-ت,13890513,0,0,0,49.76,0,0.00,0,50
آسيا-ت,13890516,51.74,52,52,51.74,485,1732420.00,1,50
آسيا-ت,13890517,53.80,54,54,53.80,200,742800.00,1,52
آسيا-ت,13890518,55.94,56,56,55.94,7163,27663506.00,2,54
آسيا-ت,13890519,58.17,58,58,58.17,200,803200.00,1,56
آسيا-ت,13890520,60.49,60,60,60.49,18236,76153536.00,2,58
آسيا-ت,13890523,62.91,63,63,62.91,1009504,4384216004.00,78,60
آسيا-ت,13890524,65.41,65,65,65.41,573917,2591809172.00,40,63
آسيا-ت,13890525,68.02,68,68,68.02,1983317,9313178964.00,175,65
آسيا-ت,13890526,70.73,71,71,68.47,59670,291368610.00,9,68
آسيا-ت,13890527,71.21,71,71,68.56,11415,56116140.00,6,68
آسيا-ت,13890530,71.29,71,71,68.92,47819,235365118.00,8,69
آسيا-ت,13890531,71.67,72,71,71.67,1376391,6809753180.00,180,69
آسيا-ت,13890601,74.52,75,75,72.27,75000,385875000.00,7,72
آسيا-ت,13890602,75.15,75,75,75.08,355038,1841937144.00,22,72
آسيا-ت,13890603,78.07,78,78,75.26,22453,121021670.00,6,75
آسيا-ت,13890606,78.26,78,78,75.29,3909,21120327.00,3,75
آسيا-ت,13890607,78.29,78,78,75.63,40549,219167345.00,6,75
آسيا-ت,13890608,78.64,79,79,75.80,20261,109996969.00,9,76
آسيا-ت,13890609,78.83,79,79,76.31,60700,330329400.00,4,76
آسيا-ت,13890613,79.35,79,79,78.75,292540,1602534120.00,31,76
آسيا-ت,13890614,81.55,82,76,77.99,769359,4142036520.00,143,79
آسيا-ت,13890615,75.15,78,75,75.63,501866,2620350643.00,115,78
آسيا-ت,13890616,73.29,73,73,75.28,44209,221924140.00,9,76
آسيا-ت,13890617,72.28,72,72,74.86,50925,254115750.00,11,75
آسيا-ت,13890621,71.87,72,72,74.81,5771,28635702.00,3,75
آسيا-ت,13890622,71.83,76,72,72.31,1742340,8698126320.00,204,75
آسيا-ت,13890623,72.41,72,71,72.11,316524,1575035045.00,48,72
آسيا-ت,13890624,70.31,72,70,70.45,467867,2275876709.00,40,72
آسيا-ت,13890627,70.40,70,68,68.19,474007,2231572248.00,32,70
آسيا-ت,13890628,65.47,66,65,65.49,373480,1688389600.00,56,68
آسيا-ت,13890629,62.88,63,63,62.89,362385,1573117285.00,32,65
آسيا-ت,13890630,60.39,65,60,61.40,519031,2200359962.00,73,63
آسيا-ت,13890631,63.85,64,64,62.94,227268,1001797344.00,52,61
آسيا-ت,13890703,65.44,65,65,63.15,32125,145140750.00,13,63
آسيا-ت,13890704,65.67,66,66,64.70,223235,1012118706.00,47,63
آسيا-ت,13890705,67.28,67,64,64.76,103949,465678143.00,29,65
آسيا-ت,13890706,64.60,65,63,64.75,7630,33783650.00,4,65
آسيا-ت,13890707,64.59,67,62,67.15,524283,2430501503.00,60,65
آسيا-ت,13890710,68.08,68,67,67.15,81924,379837790.00,28,67
آسيا-ت,13890711,67.06,67,64,65.78,252120,1134259700.00,30,67
آسيا-ت,13890713,66.62,67,67,66.08,131887,606682352.00,33,66
آسيا-ت,13890714,66.63,68,67,67.37,373986,1739341432.00,60,66
آسيا-ت,13890717,66.63,68,67,67.35,25839,119704400.00,10,67
آسيا-ت,13890718,66.63,67,66,66.63,572185,2632111840.00,87,67
آسيا-ت,13890719,63.98,67,64,66.14,93022,415395387.00,21,67
آسيا-ت,13890720,63.73,64,64,65.57,78616,344714720.00,16,66
آسيا-ت,13890721,62.95,63,63,62.95,591632,2571232672.00,46,66
آسيا-ت,13890724,60.45,64,60,62.57,101544,431766807.00,17,63
آسيا-ت,13890725,60.11,65,60,63.05,181519,796084788.00,31,63
آسيا-ت,13890726,64.46,65,63,63.41,92916,413654279.00,17,63
آسيا-ت,13890727,63.88,64,61,62.65,115144,484829025.00,8,63
آسيا-ت,13890728,61.56,62,60,62.27,60000,250200000.00,2,63
آسيا-ت,13890801,63.13,65,62,62.56,104125,454969139.00,22,62
آسيا-ت,13890802,64.86,65,60,60.98,281418,1175602456.00,37,63
آسيا-ت,13890803,59.24,59,59,58.55,611054,2469909608.00,65,61
آسيا-ت,13890804,57.94,58,58,58.24,147003,586673275.00,28,59
آسيا-ت,13890805,57.94,58,58,58.20,44806,179211814.00,6,58
آسيا-ت,13890808,60.52,61,60,58.27,12119,50617159.00,6,58
آسيا-ت,13890809,56.49,58,56,57.36,152460,590423180.00,19,58
آسيا-ت,13890810,59.21,59,58,57.39,13467,54056496.00,7,57
آسيا-ت,13890811,57.94,58,58,57.58,115644,463082000.00,28,57
آسيا-ت,13890812,58.66,60,58,58.42,263961,1070178072.00,44,58
آسيا-ت,13890815,60.75,61,61,60.30,293091,1229223654.00,62,58
آسيا-ت,13890816,62.50,63,58,60.21,143122,593745797.00,39,60
آسيا-ت,13890817,58.37,60,58,60.03,83751,343411577.00,20,60
آسيا-ت,13890818,58.68,60,59,60.03,277445,1149841616.00,45,60
آسيا-ت,13890819,0,0,0,60.03,0,0.00,0,60
آسيا-ت,13890822,0,0,0,60.03,0,0.00,0,60
آسيا-ت,13890823,0,0,0,60.03,0,0.00,0,60
آسيا-ت,13890824,0,0,0,60.03,0,0.00,0,60
آسيا-ت,13890825,0,0,0,60.03,0,0.00,0,60
آسيا-ت,13890829,0,0,0,60.03,0,0.00,0,60
آسيا-ت,13890830,0,0,0,60.03,0,0.00,0,60
آسيا-ت,13890901,0,0,0,60.03,0,0.00,0,60
آسيا-ت,13890902,0,0,0,60.03,0,0.00,0,60
آسيا-ت,13890903,0,0,0,60.03,0,0.00,0,60
آسيا-ت,13890906,0,0,0,60.03,0,0.00,0,60
آسيا-ت,13890907,0,0,0,60.03,0,0.00,0,60
آسيا-ت,13890908,0,0,0,60.03,0,0.00,0,60
آسيا-ت,13890909,0,0,0,60.03,0,0.00,0,60
آسيا-ت,13890910,60.84,63,61,61.82,549298,2344615235.00,157,60
آسيا-ت,13890913,63.02,63,60,61.79,237726,1013786415.00,63,62
آسيا-ت,13890914,59.68,60,59,60.08,280060,1151828588.00,76,62
آسيا-ت,13890915,58.68,62,58,60.59,758210,3171650450.00,171,60
آسيا-ت,13890916,60.53,63,60,62.44,1457011,6280920609.00,245,61
آسيا-ت,13890917,62.98,64,61,63.56,4693801,20597214312.00,67,62
آسيا-ت,13890920,63.56,66,63,65.50,557511,2520891624.00,121,64
آسيا-ت,13890921,65.18,65,63,65.10,124278,551764823.00,44,66
آسيا-ت,13890922,62.52,63,63,64.60,72724,314379934.00,22,65
آسيا-ت,13890923,62.02,62,62,64.46,20000,85640000.00,1,65
آسيا-ت,13890927,61.88,62,62,64.41,6930,29604960.00,3,64
آسيا-ت,13890928,61.85,62,62,61.85,367277,1568304214.00,42,64
آسيا-ت,13890929,60.84,62,60,61.47,166174,700172887.00,54,62
آسيا-ت,13890930,59.39,62,59,59.88,410829,1698481554.00,70,61
آسيا-ت,13891001,62.13,62,61,62.23,418120,1796317868.00,46,60
آسيا-ت,13891004,62.28,64,62,62.65,188392,819731327.00,40,62
آسيا-ت,13891005,63.28,65,62,64.36,631777,2806860024.00,92,63
آسيا-ت,13891006,64.89,65,63,63.82,192416,841305647.00,38,64
آسيا-ت,13891007,63.70,64,63,63.72,186169,817553614.00,32,64
آسيا-ت,13891008,62.28,63,62,63.49,102763,446084897.00,34,64
آسيا-ت,13891011,62.15,63,62,63.18,106915,461129983.00,43,63
آسيا-ت,13891012,62.91,64,62,62.91,631212,2741061872.00,89,63
آسيا-ت,13891013,64.31,65,63,64.54,605614,2698809107.00,99,63
آسيا-ت,13891014,64.46,67,64,65.33,482793,2177329651.00,109,65
آسيا-ت,13891015,67.93,68,67,67.92,893032,4187368760.00,97,65
آسيا-ت,13891018,69.51,71,65,68.44,233185,1106474453.00,70,68
آسيا-ت,13891019,67.79,70,66,68.35,382005,1802632456.00,137,68
آسيا-ت,13891020,67.08,68,66,67.69,161565,745715845.00,52,68
آسيا-ت,13891021,68.22,68,67,67.64,98557,459438871.00,35,68
آسيا-ت,13891022,67.37,68,67,67.62,52155,242797499.00,24,68
آسيا-ت,13891025,67.70,68,67,67.53,51470,237927702.00,24,68
آسيا-ت,13891026,66.62,68,66,67.12,197345,909840042.00,39,68
آسيا-ت,13891027,66.63,67,66,66.86,182459,838822050.00,42,67
آسيا-ت,13891028,66.63,67,66,66.75,76129,348340998.00,23,67
آسيا-ت,13891029,67.21,67,65,66.78,111302,513641938.00,30,67
آسيا-ت,13891102,66.78,69,67,68.02,205662,979504401.00,45,67
آسيا-ت,13891103,70.73,71,68,69.32,480417,2299177354.00,117,68
آسيا-ت,13891104,68.51,69,67,67.43,398915,1857075820.00,76,69
آسيا-ت,13891106,67.35,67,67,67.27,144102,666786779.00,31,67
آسيا-ت,13891109,68.08,69,67,67.46,175579,820198582.00,37,67
آسيا-ت,13891110,67.41,67,65,66.89,144087,656894817.00,41,67
آسيا-ت,13891111,65.34,68,65,66.63,147733,675612610.00,41,67
آسيا-ت,13891112,66.63,68,67,66.72,45275,210425612.00,26,67
آسيا-ت,13891116,67.77,69,67,67.76,250939,1182153749.00,78,67
آسيا-ت,13891117,68.09,69,67,68.18,333656,1571476056.00,70,68
آسيا-ت,13891118,68.80,69,67,68.09,101952,477733036.00,40,68
آسيا-ت,13891119,68.08,68,67,68.01,40288,187214763.00,20,68
آسيا-ت,13891120,66.63,67,66,67.47,118716,543970711.00,35,68
آسيا-ت,13891123,66.49,66,66,67.11,113733,520596629.00,32,67
آسيا-ت,13891124,65.91,67,64,65.18,453320,2039893556.00,56,67
آسيا-ت,13891125,67.35,67,65,65.40,122053,554568300.00,26,65
آسيا-ت,13891126,65.20,65,64,64.92,179649,798941052.00,48,65
آسيا-ت,13891127,64.67,65,64,64.82,221630,990800839.00,35,65
آسيا-ت,13891130,63.88,64,63,64.54,68034,297628078.00,34,65
آسيا-ت,13891201,62.94,63,62,63.86,108223,464960985.00,45,65
آسيا-ت,13891203,62.28,62,62,63.62,57415,246865180.00,10,64
آسيا-ت,13891204,61.66,63,61,63.05,121570,519702840.00,32,64
آسيا-ت,13891207,61.71,66,61,65.04,443626,1991692548.00,69,63
آسيا-ت,13891208,64.46,67,65,65.47,142161,649110110.00,24,65
آسيا-ت,13891209,65.98,67,65,65.47,121738,550149819.00,31,65
آسيا-ت,13891210,63.73,68,64,67.24,475316,2206200260.00,85,65
