<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
اتكاي-ت,13940230,0,0,0,646.68,0,0.00,0,647
اتكاي-ت,13940302,671.43,671,619,646.68,236900,433661500.00,15,647
اتكاي-ت,13940303,643.50,644,643,646.33,101000,183705000.00,4,647
اتكاي-ت,13940304,601.78,652,602,644.21,76550,135008755.00,11,646
اتكاي-ت,13940305,625.82,650,612,641.03,109640,192308424.00,16,644
اتكاي-ت,13940306,620.52,629,621,639.97,71114,126298470.00,13,641
اتكاي-ت,13940309,605.67,639,601,627.94,369335,641435530.00,28,640
اتكاي-ت,13940310,609.20,612,608,609.56,84147,145029810.00,16,628
اتكاي-ت,13940311,602.84,622,601,612.74,411743,713456227.00,31,610
اتكاي-ت,13940312,614.15,636,614,632.89,1160,2076200.00,6,613
اتكاي-ت,13940316,639.97,647,619,622.99,25690,45275741.00,10,633
اتكاي-ت,13940317,618.75,629,615,617.34,1151067,2010058160.00,39,623
اتكاي-ت,13940318,618.75,628,617,618.04,285761,499421566.00,25,617
اتكاي-ت,13940319,609.91,610,608,608.50,8219,14141680.00,3,618
اتكاي-ت,13940320,611.68,622,612,613.09,41892,72648323.00,10,608
اتكاي-ت,13940323,643.15,644,612,621.58,143811,252818262.00,21,613
اتكاي-ت,13940324,647.04,648,621,627.94,25800,45810650.00,6,622
اتكاي-ت,13940325,618.40,636,608,612.03,469605,812868450.00,15,628
اتكاي-ت,13940326,608.14,619,606,610.62,218893,377977557.00,26,612
اتكاي-ت,13940327,612.39,635,612,633.25,107723,192893049.00,22,611
اتكاي-ت,13940330,613.45,621,613,619.46,34800,60970600.00,7,633
اتكاي-ت,13940331,615.57,631,612,614.15,90762,157643334.00,13,619
اتكاي-ت,13940401,636.43,636,616,619.81,22770,39921130.00,12,614
اتكاي-ت,13940402,631.13,645,631,634.31,24305,43604974.00,15,620
اتكاي-ت,13940403,629.36,629,612,614.15,123165,213926580.00,21,634
اتكاي-ت,13940406,630.42,631,613,616.63,58382,101806919.00,11,614
اتكاي-ت,13940407,608.14,619,608,609.56,13900,23958364.00,6,617
اتكاي-ت,13940408,616.98,617,608,613.09,22000,38142500.00,5,610
اتكاي-ت,13940409,636.43,636,619,625.12,47892,84687600.00,11,613
اتكاي-ت,13940410,635.37,636,622,634.31,74472,133565841.00,15,625
اتكاي-ت,13940413,639.97,653,640,643.85,157205,286195587.00,37,634
اتكاي-ت,13940414,654.11,654,633,636.43,228640,411651632.00,34,644
اتكاي-ت,13940415,654.11,654,636,642.44,220895,401441308.00,43,636
