<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
خشرق-ت,13830601,579.96,599,580,599.50,14510,62902310.00,10,610
خشرق-ت,13830602,579.56,598,580,598.42,2010,8708730.00,3,599
خشرق-ت,13830603,578.62,597,579,597.22,2310,9992960.00,5,598
خشرق-ت,13830608,573.27,597,573,596.55,1010,4329590.00,3,597
خشرق-ت,13830610,572.20,586,572,586.25,18953,81303457.00,17,597
خشرق-ت,13830611,579.96,586,580,586.12,810,3511810.00,2,586
خشرق-ت,13830614,579.96,586,580,585.85,1332,5774660.00,4,586
خشرق-ت,13830615,584.64,595,585,587.05,10971,48441730.00,58,586
خشرق-ت,13830616,588.66,615,589,597.22,20929,95054357.00,8,587
خشرق-ت,13830617,602.04,609,598,598.02,6486,29206500.00,54,597
خشرق-ت,13830618,602.04,604,599,599.09,9483,42758121.00,54,598
خشرق-ت,13830621,615.55,629,616,619.43,31831,148949863.00,59,599
خشرق-ت,13830622,650.33,650,634,634.28,20322,98784042.00,9,619
خشرق-ت,13830624,642.17,666,642,650.60,23250,115375100.00,10,634
خشرق-ت,13830625,668.93,683,669,669.33,41990,210159910.00,19,651
خشرق-ت,13830628,695.69,703,683,683.38,21219,110601767.00,83,669
خشرق-ت,13830629,693.01,694,686,686.05,10870,56385580.00,77,683
خشرق-ت,13830630,691.00,691,687,686.86,20310,104441340.00,58,686
خشرق-ت,13830631,680.97,685,679,685.25,15936,81342324.00,81,687
خشرق-ت,13830701,668.39,672,656,672.27,24036,119072656.00,93,685
خشرق-ت,13830704,668.93,670,668,670.40,18506,92450610.00,82,672
خشرق-ت,13830705,668.80,670,668,669.60,16297,81444520.00,78,670
خشرق-ت,13830706,668.80,669,669,669.47,1968,9838480.00,4,670
خشرق-ت,13830708,664.92,669,665,669.33,790,3926630.00,2,669
خشرق-ت,13830711,663.58,667,664,666.52,20918,103783609.00,83,669
خشرق-ت,13830712,661.30,664,661,661.84,54798,271130663.00,74,667
خشرق-ت,13830713,661.84,662,661,661.71,2908,14380314.00,6,662
خشرق-ت,13830714,661.04,661,661,661.30,28951,143079741.00,89,662
خشرق-ت,13830715,668.66,669,664,664.11,16085,80427266.00,9,661
خشرق-ت,13830718,669.73,685,668,668.26,9662,49266212.00,79,664
خشرق-ت,13830719,670.27,702,670,674.28,21847,111048964.00,126,668
خشرق-ت,13830720,674.15,708,674,679.77,10490,54632010.00,8,674
خشرق-ت,13830721,713.75,714,714,713.75,47039,250953065.00,13,680
خشرق-ت,13830722,711.47,714,693,702.38,51409,269944648.00,28,714
خشرق-ت,13830725,702.38,702,696,702.24,6790,35607490.00,5,702
خشرق-ت,13830726,702.38,703,702,702.24,11020,57856427.00,8,702
خشرق-ت,13830727,702.24,708,696,697.83,131271,684786671.00,20,702
خشرق-ت,13830728,702.38,702,698,698.36,5681,29824950.00,3,698
